Carriolas,Bueno,Media,Regular,MXN ,Seminuevo sin detalle,Funcionamiento,7 días,General,N=Normal,Ob Modelo,Ob Tipo ,Ob Incluye travel system ,Ob Capacidad de la carriola,Ob Es reclinable,Ob Es 3 en 1,Ob Cantidad de posiciones de reclinado,Almacén General,Etiquetas ,Descripción,Información Adicional
Autoasientos,Bueno,Media,Regular,MXN ,Seminuevo sin detalle,Funcionamiento,7 días,General,N=Normal,Ob Modelo,Ob Tipo de asiento ,Ob Sistemas de anclaje,Ob Cantidad de posiciones,Almacén General,Etiquetas,Descripción,Información Adicional,,,
50%,Excelente,Alta,Buena,MXN,Seminuevo sin detalle,Funcionamiento,7,General,S = Sencilla,Portabebé 0-13 kg ,Ajustable alturas,Sistema Latch,Reclinable,Almacén General,Portabebé 0-13 kg ,6,13,,,
60%,Bueno,Media,Regular,USD,Seminuevo con detalle,,,Prinsel,N=Normal,Autoasientos 0-18 a 25 kg,No ajustable alturas,Sistema Isofix,No Reclinable,Consignación,Autoasientos 0-18 a 25 kg,9,14,,,
15%,Regular,Baja,Mala,GUAT,Nuevo,,,Chicco,A= Alto,Autoasientos 9-18 a 30 kg,Elevador,Cinturón de Seguridad,,,Autoasientos 9-18 a 30 kg,11,,,,
50%,,,,MXN ,,,,Infanti,P= Premium,Booster 15 a 45 kg,Con respaldo y cinturones,,,,Booster 15 a 45 kg,12,,,,
,,,,,,,,Evenflo,,Booster 18 a 49 Kg,Elevador con respaldo,,,,Booster 18 a 49 Kg,,,,,
,,,,,,,,Graco,,,,,,,,,,,,
,,,,,,,,Brevi,,,,,,,,,,,,
,,,,,,,,The first years,,,,,,,,,,,,
,,,,,,,,Britax,,,,,,,,,,,,
,,,,,,,,PegPérego,,,,,,,,,,,,
,,,,,,,,Stokke,,,,,,,,,,,,
,,,,,,,,Maxicosi,,,,,,,,,,,,
,,,,,,,,BeSafe,,,,,,,,,,,,
,,,,,,,,Sorel,,,,,,,,,,,,
,,,,,,,,Cybex,,,,,,,,,,,,
,,,,,,,,Alpha omega,,,,,,,,,,,,
,,,,,,,,Safety 1st,,,,,,,,,,,,
,,,,,,,,Cosco,,,,,,,,,,,,
,,,,,,,,Dbebe,,,,,,,,,,,,
,,,,,,,,Mon Caramel ,,,,,,,,,,,,
,,,,,,,,Nuna,,,,,,,,,,,,
,,,,,,,,Prinsel ,,,,,,,,,,,,
,,,,,,,,Joie,,,,,,,,,,,,
,,,,,,,,Mifold,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Sillas para bicicleta,Bueno,Media,Regular,MXN ,Seminuevo sin detalle,Funcionamiento,7 días,General,N=Normal,Ob Modelo,Ob Edad mínima recomendada,Ob Edad máxima recomendada,Almacén General,Etiquetas,Descripción,Información Adicional,,,,
50%,Excelente,Alta,Buena,MXN,Seminuevo sin detalle,Funcionamiento,7,General,S = Sencilla,No Reclinable,9 meses,6 años,Almacén General,,6,,,,,
60%,Bueno,Media,Regular,USD,Seminuevo con detalle,,,Polissport,N=Normal,Reclinable,Otra,Otra,Consignación,,9,,,,,
15%,Regular,Baja,Mala,GUAT,Nuevo,,,Thule,A= Alto,,,,,,11,,,,,
50%,,,,MXN ,,,,Bobike,P= Premium,,,,,,,,,,,
,,,,,,,,Hamax,,,,,,,,,,,,
,,,,,,,,Topeak ,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Cargando al peque,Bueno,Media,Regular,MXN ,Seminuevo sin detalle,Funcionamiento,7 días,General,N=Normal,Ob Modelo,Almacén General,Etiquetas,Descripción,Información Adicional,,,,,,
55%,Excelente,Alta,Buena,MXN,Seminuevo sin detalle,Funcionamiento,7,General,S = Sencilla,Mochila Ergonómica,Almacén General,,6,,,,,,,
65%,Bueno,Media,Regular,USD,Seminuevo con detalle,,,Prinsel,N=Normal,Mei Thai,Consignación,,9,,,,,,,
20%,Regular,Baja,Mala,GUAT,Nuevo,,,Chicco,A= Alto,Rebozo,,,11,,,,,,,
50%,,,,MXN ,,,,Infanti,P= Premium,Fular 3m,,,,,,,,,,
,,,,,,,,Evenflo,,Fular 5m,,,,,,,,,,
,,,,,,,,BabyBjorn,,Bambineto,,,,,,,,,,
,,,,,,,,Ergobaby,,Cangurera,,,,,,,,,,
