id,subcategory_id,name,display_name,type,order_index,options,created_at,updated_at,mandatory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,5,baston_empuje,Bastón para empuje,seleccion,3,"['Con bastón empuje'"""," '""Sin bastón empuje'""]""",,,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,5,techo,Techo,seleccion,4,"['Con techo'"""," '""Sin techo'""]""",,,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,6,modelo,Modelo,seleccion,1,"['R-12 / 2-3a'"""," '""R-14 / 3-4a'"""," '""R-16 / 3-5a'"""," '""R-18 / 4-6a'"""," '""R+20 +6a'"""," '""Triciclo Pequeño'"""," '""Triciclo Grande'"""," '""Bicicleta de Equilibrio'""]""",,,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,6,tipo,Tipo,seleccion,2,"['Ruedas Aux.'"""," '""Sin Ruedas Aux.'"""," '""3 en 1'"""," '""Regular'"""," '""Con accesorios'""]""",,,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,7,modelo,Modelo,seleccion,1,"['Trasera'"""," '""Frontal'""]""",,,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,7,edad_minima,Edad mínima recomendada,seleccion,2,"['9 meses'"""," '""Otra'""]""",,,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,7,edad_maxima,Edad máxima recomendada,seleccion,3,"['5 años'"""," '""Otra'""]""",,,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,8,modelo,Modelo,seleccion,1,"['Avalancha'"""," '""Patineta'"""," '""Patines'"""," '""Scooter pequeño'"""," '""Scooter Grande'""",," '""Wagon'""]""",,,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,9,modelo,Modelo,seleccion,1,"['Pañalera'"""," '""Inserto'"""," '""Cambiador'"""," '""Casco Protector Bici'"""," '""Arnés/Correa'"""," '""Andarín'"""," '""Inflable'"""," '""Mochila'"""," '""Silla para Bici'"""," '""Bambineto'"""," '""Portabebé y Base'"""," '""Adaptador de asiento'"""," '""Accesorios carriola'"""," '""Organizador'"""," '""Chaleco salvavidas'"""," '""Salvavidas'""]""",,,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,10,edad_maxima,Edad máxima recomendada,seleccion,1,"['7 meses'"""," '""36 meses'"""," '""Más de 36 meses'""]""",,,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,10,modelo,Modelo,seleccion,2,"['Cuna Estándar'"""," '""Convertible Entrenadora'"""," '""Convertible Matrimonial'"""," '""Tamaño Moisés'"""," '""Cama Junior'"""," '""Cama Individual'"""," '""Otros Tamaños'"""," '""Cuna Cama'""]""",,,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,10,con_buros,Con burós,seleccion,3,"['Con burós'"""," '""Sin Buros'""]""",,,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,10,acabado,Acabado,seleccion,4,"['Acabado Rústico'"""," '""Acabado Regular'"""," '""Acabado Fino'""]""",,,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
