id,subcategory_id,,offer_print,name,display_name,type,order_index,options,created_at,updated_at,mandatory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,4,,TRUE,modelo,Modelo,seleccion,1,"['Cubre carriola'"""," '""Ganchos carriola'"""," '""Patín carriola'"""," '""Juguete para Carriola'"""," '""Organizador'"""," '""Funda de lluvia'"""," '""Saco protector'"""," '""Sombrilla'"""," '""Mosquitero'"""," '""Cubre portabebé'"""," '""Soporte para Cabeza'"""," '""Apapacho para Portabebé'"""," '""Protector Asientos'"""," '""Organizador auto'"""," '""Espejos retrovisores'"""," '""Funda de carriola'""",,,"""accesorios sobre ruedas"""," '""Cargador Autoasiento'""",," '""Adaptador de carriola'""]""",34:01.5,34:01.5,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,5,,TRUE,modelo,Modelo,seleccion,1,"['Eléctrico'"""," '""Empuje'""]""",34:01.5,34:01.5,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,5,,TRUE,tipo,Tipo,seleccion,2,"['Control remoto'"""," '""Sin Control remoto'""]""",34:01.5,34:01.5,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,5,,FALSE,baston_empuje,Bastón para empuje,seleccion,3,"['Con bastón empuje'"""," '""Sin bastón empuje'""]""",34:01.5,34:01.5,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,5,,FALSE,techo,Techo,seleccion,4,"['Con techo'"""," '""Sin techo'""]""",34:01.5,34:01.5,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,6,,TRUE,modelo,Modelo,seleccion,1,"['R-12 / 2-3a'"""," '""R-14 / 3-4a'"""," '""R-16 / 3-5a'"""," '""R-18 / 4-6a'"""," '""R+20 +6a'"""," '""Triciclo Pequeño'"""," '""Triciclo Grande'"""," '""Bicicleta de Equilibrio'""]""",34:01.5,34:01.5,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,6,,TRUE,tipo,Tipo,seleccion,2,"['Ruedas Aux.'"""," '""Sin Ruedas Aux.'"""," '""3 en 1'"""," '""Regular'"""," '""Con accesorios'""]""",34:01.5,34:01.5,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,7,,TRUE,modelo,Modelo,seleccion,1,"['Trasera'"""," '""Frontal'""]""",34:01.5,34:01.5,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,7,,FALSE,edad_minima,Edad mínima recomendada,seleccion,2,"['9 meses'"""," '""Otra'""]""",34:01.5,34:01.5,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,7,,FALSE,edad_maxima,Edad máxima recomendada,seleccion,3,"['5 años'"""," '""Otra'""]""",34:01.5,34:01.5,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,8,,TRUE,modelo,Modelo,seleccion,1,"['Avalancha'"""," '""Patineta'"""," '""Patines'"""," '""Scooter pequeño'"""," '""Scooter Grande'""",," '""Wagon'""]""",34:01.5,34:01.5,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,9,,TRUE,modelo,Modelo,seleccion,1,"['Pañalera'"""," '""Inserto'"""," '""Cambiador'"""," '""Casco Protector Bici'"""," '""Arnés/Correa'"""," '""Andarín'"""," '""Inflable'"""," '""Mochila'"""," '""Silla para Bici'"""," '""Bambineto'"""," '""Portabebé y Base'"""," '""Adaptador de asiento'"""," '""Accesorios carriola'"""," '""Organizador'"""," '""Chaleco salvavidas'"""," '""Salvavidas'""]""",34:01.5,34:01.5,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,10,,FALSE,edad_maxima,Edad máxima recomendada,seleccion,1,"['7 meses'"""," '""36 meses'"""," '""Más de 36 meses'""]""",34:01.5,34:01.5,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,10,,TRUE,modelo,Modelo,seleccion,2,"['Cuna Estándar'"""," '""Convertible Entrenadora'"""," '""Convertible Matrimonial'"""," '""Tamaño Moisés'"""," '""Cama Junior'"""," '""Cama Individual'"""," '""Otros Tamaños'"""," '""Cuna Cama'""]""",34:01.5,34:01.5,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
