ID,Tipo,SKU,"GTIN, UPC, EAN, or ISBN",Nombre,Publicado,¿Está destacado?,Visibilidad en el catálogo,Descripción corta,Descripción,Día en que empieza el precio rebajado,Día en que termina el precio rebajado,Estado del impuesto,Clase de impuesto,¿En inventario?,Inventario,Cantidad de bajo inventario,¿Permitir reservas de productos agotados?,¿Vendido individualmente?,Peso (kg),Longitud (cm),Ancho (cm),Altura (cm),¿Permitir valoraciones de clientes?,Nota de compra,Precio rebajado,Precio normal,Categorías,Etiquetas,Clase de envío,Imágenes,Límite de descargas,Días de caducidad de la descarga,Superior,Productos agrupados,Ventas dirigidas,Ventas cruzadas,URL externa,Texto del botón,Posición
41533,simple,HSLYRP20,,General Niños,0,0,visible,Sin información adicional,"Precio de comparación $220 Niños , General, Seminuevo sin detalle, , Navidad",,,taxable,,1,1,,0,0,0.33,,,,0,220,,88,A Jugar > Libros y rompecabezas,"Niños, Polanco, Ver todo de a jugar",,"https://entrepeques.mx/wp-content/uploads/2023/12/HSLYRP20-1.jpg, https://entrepeques.mx/wp-content/uploads/2023/12/HSLYRP201-1.jpg",,,,,,,,,0
41537,simple,HSLYRP21,,Libro Niños,0,0,visible,Sin información adicional,"Precio de comparación $220 Niños , General, Seminuevo sin detalle, , Grandpa",,,taxable,,1,1,,0,0,0.33,,,,0,220,,88,A Jugar > Libros y rompecabezas,"Niños, Polanco, Ver todo de a jugar",,"https://entrepeques.mx/wp-content/uploads/2023/12/HSLYRP21-1.jpg, https://entrepeques.mx/wp-content/uploads/2023/12/HSLYRP211-1.jpg, https://entrepeques.mx/wp-content/uploads/2023/12/HSLYRP212-1.jpg",,,,,,,,,0
41541,simple,HSLYRP22,,General Bebés,0,0,visible,Sin información adicional,"Precio de comparación $250 Bebés , General, Seminuevo sin detalle, , Animales de Granja",,,taxable,,1,1,,0,0,0.33,,,,0,250,,99,A Jugar > Libros y rompecabezas,"Bebés, Polanco, Ver todo de a jugar",,"https://entrepeques.mx/wp-content/uploads/2023/12/HSLYRP22-1.jpg, https://entrepeques.mx/wp-content/uploads/2023/12/HSLYRP221-1.jpg, https://entrepeques.mx/wp-content/uploads/2023/12/HSLYRP222-1.jpg",,,,,,,,,0
41545,simple,HSLYRP23,,General Bebés,0,0,visible,Sin información adicional,"Precio de comparación $300 Bebés , General, Seminuevo sin detalle, , Baby Bible",,,taxable,,1,1,,0,0,0.33,,,,0,300,,110,A Jugar > Libros y rompecabezas,"Bebés, Polanco, Ver todo de a jugar",,"https://entrepeques.mx/wp-content/uploads/2023/12/HSLYRP23-1.jpg, https://entrepeques.mx/wp-content/uploads/2023/12/HSLYRP231-1.jpg, https://entrepeques.mx/wp-content/uploads/2023/12/HSLYRP232-1.jpg",,,,,,,,,0
41549,simple,HSLYRP24,,General Niños,0,0,visible,Sin información adicional,"Precio de comparación $280 Niños , General, Seminuevo sin detalle, , Big brothers",,,taxable,,1,1,,0,0,0.33,,,,0,280,,99,A Jugar > Libros y rompecabezas,"Niños, Polanco, Ver todo de a jugar",,"https://entrepeques.mx/wp-content/uploads/2023/12/HSLYRP24-1.jpg, https://entrepeques.mx/wp-content/uploads/2023/12/HSLYRP241-1.jpg, https://entrepeques.mx/wp-content/uploads/2023/12/HSLYRP242-1.jpg",,,,,,,,,0
41553,simple,HSPDAP3,,baby Bullet Eléctrico,0,0,visible,"Diferentes funciones, faltan accesorios no esenciales, se puede preguntar al whats 5523632389","Precio de comparación $1800 Eléctrico, baby Bullet, faltan acceosios no esenciales",,,taxable,,1,1,,0,0,4.17,,,,0,1800,,880,A comer > Procesador de alimentos,"Eléctrico, Polanco, Ver todo de a comer",,"https://entrepeques.mx/wp-content/uploads/2023/12/HSPDAP3-1.jpg, https://entrepeques.mx/wp-content/uploads/2023/12/HSPDAP31-1.jpg, https://entrepeques.mx/wp-content/uploads/2023/12/HSPDAP32-1.jpg",,,,,,,,,0
41602,simple,HSLYRP26,,Libro Niños,1,0,visible,Sin información adicional,"Precio de comparación $185 Niños , Libro, Seminuevo sin detalle, , Grandmas",,,taxable,,1,1,,0,0,0.33,,,,0,185,,66,A Jugar > Libros y rompecabezas,"Niños, Polanco, Ver todo de a jugar",,"https://entrepeques.mx/wp-content/uploads/2023/12/HSLYRP26-1.jpg, https://entrepeques.mx/wp-content/uploads/2023/12/HSLYRP261-1.jpg",,,,,,,,,0
41629,simple,HSLYRP34,,General Bebés,1,0,visible,Sin información adicional,"Precio de comparación $490 Bebés , General, Seminuevo sin detalle, Libro musical",,,taxable,,1,1,,0,0,0.33,,,,0,490,,181.5,A Jugar > Libros y rompecabezas,"Bebés, Polanco, Ver todo de a jugar",,"https://entrepeques.mx/wp-content/uploads/2023/12/HSLYRP34-1.jpg, https://entrepeques.mx/wp-content/uploads/2023/12/HSLYRP341-1.jpg",,,,,,,,,0
41656,simple,HSJUGP182,,Fisher Price 2 años,1,0,visible,Sin información adicional,"Precio de comparación $580 2 años, Fisher Price, Seminuevo sin detalle, , Casita FP",,,taxable,,1,2,,0,0,3.06,,,,0,580,,209,A Jugar > Juguetes,"2 años, Polanco, Ver todo de a jugar",,"https://entrepeques.mx/wp-content/uploads/2023/12/HSJUGP182-3.jpg, https://entrepeques.mx/wp-content/uploads/2023/12/HSJUGP1821-3.jpg",,,,,,,,,0
41671,simple,HSJGGP59,,Vtech Escritorios,1,0,visible,Sin información adicional,"Precio de comparación $1650 Escritorios, Vtech, Seminuevo sin detalle, , Escritorio Musical",,,taxable,,1,1,,0,0,22.45,,,,0,1650,962,1069.2,A Jugar > Juegos grandes,"Escritorios, Polanco, Ver todo de a jugar",,"https://entrepeques.mx/wp-content/uploads/2023/12/HSJGGP59-3.jpg, https://entrepeques.mx/wp-content/uploads/2023/12/HSJGGP591-3.jpg, https://entrepeques.mx/wp-content/uploads/2023/12/HSJGGP592-3.jpg, https://entrepeques.mx/wp-content/uploads/2023/12/HSJGGP593-3.jpg",,,,,,,,,0
41703,simple,HSJUGP194,,Mega Bloks 5 años y más,1,0,visible,Sin información adicional,"Precio de comparación $550 5 años y más, Mega Bloks, Seminuevo sin detalle, , Thomas",,,taxable,,1,1,,0,0,3.06,,,,0,550,,209,A Jugar > Juguetes,"5 años y más, Polanco, Ver todo de a jugar",,"https://entrepeques.mx/wp-content/uploads/2023/12/HSJUGP194-3.jpg, https://entrepeques.mx/wp-content/uploads/2023/12/HSJUGP1941-3.jpg, https://entrepeques.mx/wp-content/uploads/2023/12/HSJUGP1942-3.jpg",,,,,,,,,0
41713,simple,HSJUGP197,,Mega Bloks 4 años,1,0,visible,Sin información adicional,"Precio de comparación $1300 4 años, Mega Bloks, Seminuevo sin detalle, , mesa megablocks",,,taxable,,1,2,,0,0,3.06,,,,0,1300,,539,A Jugar > Juguetes,"4 años, Polanco, Ver todo de a jugar",,"https://entrepeques.mx/wp-content/uploads/2023/12/HSJUGP197-2.jpg, https://entrepeques.mx/wp-content/uploads/2023/12/HSJUGP1971-2.jpg",,,,,,,,,0
41727,simple,HSJUGP199,,Cars 5 años y más,1,0,visible,Sin información adicional,"Precio de comparación $1250 5 años y más, Cars, Seminuevo sin detalle, , Piston Cup",,,taxable,,1,1,,0,0,3.06,,,,0,1250,,467.5,A Jugar > Juguetes,"5 años y más, Polanco, Ver todo de a jugar",,"https://entrepeques.mx/wp-content/uploads/2023/12/HSJUGP199-1.jpg, https://entrepeques.mx/wp-content/uploads/2023/12/HSJUGP1991-1.jpg",,,,,,,,,0
