Envíos Nacionales,,,
De,A,,
0,9,kg,$195 
10,29,kg,295
29,40,kg,445
41,50,kg,545
51,60,kg,895
61,70,kg,1495
,,,
,,,
CDMX,,,
De,A,,
0,20,kg,$95 
21,60,kg,$225 
61,80,,$495 
,,,
,,,
,,,
Edo Mex 1,(cercanos),,
0,20,kg,$95 
21,28,kg,150
29,40,kg,235
41,50,kg,235
51,60,kg,235
61,70,kg,1989
,,,
Edo Mex 2,,,
0,9,kg,$195 
10,29,kg,295
29,40,kg,445
41,50,kg,545
51,60,kg,895
61,70,kg,1495
