codigo_producto,subcategoria,categoria,marca,modelo,cantidad_bodega,condicion,precio_online,precio_sugerido_original,peso_kg,num_fotos,ubicacion,modalidad,fecha_valuacion,fecha_publicacion,notas,estado
JUGP054,Juguetes,A jugar,Rompe,"",1,bueno,605.00,605.00,0.50,1,Polanco,compra directa,25/09/2025,,SKU: HSJDMP5 - Rompe cabezas faro Completo,BAJO STOCK
JUGP055,Juguetes,A jugar,Rompe,"",1,bueno,275.00,275.00,0.50,2,Polanco,compra directa,25/09/2025,,SKU: HSJDMP6 - Rompe cabezas flamenco Completo,BAJO STOCK
JUGP056,Juguetes,A jugar,Rompe,"",1,bueno,429.00,429.00,0.50,2,Polanco,compra directa,25/09/2025,,SKU: HSJDMP7 - Rompe cabezas america cars Completo,BAJO STOCK
JUGP057,Juguetes,A jugar,Fisher,"",1,bueno,203.50,203.50,0.50,2,Polanco,compra directa,25/09/2025,,SKU: HSJUGP148 - Fisher Price 2 años,BAJO STOCK
JUGP058,Juguetes,A jugar,Marvel,"",1,bueno,99.00,99.00,0.50,1,Polanco,compra directa,25/09/2025,,SKU: HSJUGP154 - Marvel  5 años y más,BAJO STOCK
JUGP059,Juguetes,A jugar,Rick,"",1,bueno,605.00,605.00,0.50,2,Polanco,compra directa,25/09/2025,,SKU: HSJUGP160 - Rick  5 años y más,BAJO STOCK
JUGP061,Juguetes,A jugar,Ruz,"",1,bueno,495.00,495.00,0.50,1,Polanco,compra directa,25/09/2025,,SKU: HSDISP4 - Ruz  4-5 años,BAJO STOCK
JUGP062,Juguetes,A jugar,Rompe,"",1,bueno,495.00,495.00,0.50,2,Polanco,compra directa,25/09/2025,,SKU: HSJDMP18 - Rompe cabezas fantasia  Completo,BAJO STOCK
JUGP063,Juguetes,A jugar,Rompe,"",1,bueno,99.00,99.00,0.50,2,Polanco,compra directa,25/09/2025,,SKU: HSJDMP25 - Rompe cabezas barbie  Completo,BAJO STOCK
JUGP064,Juguetes,A jugar,joovy,"",1,bueno,1069.20,1069.20,0.50,3,Polanco,compra directa,25/09/2025,,SKU: HSANDP17 - joovy Plegable,BAJO STOCK
JUGP065,Juguetes,A jugar,Fisher,"",1,bueno,198.00,198.00,0.50,1,Polanco,compra directa,25/09/2025,,SKU: HSMDCP6 - Fisher Price Sonido y movimiento,BAJO STOCK
JUGP066,Juguetes,A jugar,Tiny,"",1,bueno,385.00,385.00,0.50,1,Polanco,compra directa,25/09/2025,,SKU: HSMDCP9 - Tiny Love Sonido y movimiento,BAJO STOCK
JUGP067,Juguetes,A jugar,Tiny,"",1,bueno,165.00,165.00,0.50,1,Polanco,compra directa,25/09/2025,,SKU: HSMDCP10 - Tiny Love Sonido y movimiento,BAJO STOCK
JUGP068,Juguetes,A jugar,Taf,"",1,bueno,346.50,346.50,0.50,1,Polanco,compra directa,25/09/2025,,SKU: HSMDCP11 - Taf toy  Sonido y movimiento,BAJO STOCK
JUGP069,Juguetes,A jugar,Chicco,"",1,bueno,715.00,715.00,0.50,1,Polanco,compra directa,25/09/2025,,SKU: HSCAPP27 - Chicco Cangurera,BAJO STOCK
JUGP070,Juguetes,A jugar,BabyBjorn,"",1,bueno,2149.20,2149.20,0.50,1,Polanco,compra directa,25/09/2025,,SKU: HSCAPP28 - BabyBjorn Cangurera,BAJO STOCK
JUGP071,Juguetes,A jugar,Baby,"",2,bueno,550.00,550.00,0.50,2,Polanco,compra directa,25/09/2025,,SKU: HSACAP6 - Baby jogger Adaptador para Portabebé,BAJO STOCK
JUGP072,Juguetes,A jugar,Tiny,"",1,bueno,275.00,275.00,0.50,1,Polanco,compra directa,25/09/2025,,SKU: HSJUGP156 - Tiny Love 0-1 año,BAJO STOCK
JUGP073,Juguetes,A jugar,Fisher,"",2,bueno,209.00,209.00,0.50,1,Polanco,compra directa,25/09/2025,,SKU: HSJUGP157 - Fisher Price 0-1 año,BAJO STOCK
JUGP074,Juguetes,A jugar,ItsIMagical,"",1,bueno,275.00,275.00,0.50,1,Polanco,compra directa,25/09/2025,,SKU: HSJUGP158 - ItsIMagical 0-1 año,BAJO STOCK
JUGP075,Juguetes,A jugar,Marvel,"",1,bueno,242.00,242.00,0.50,1,Polanco,compra directa,25/09/2025,,SKU: HSACRP11 - Marvel Saco de dormir,BAJO STOCK
JUGP076,Juguetes,A jugar,General,"",1,bueno,175.00,175.00,0.50,1,Polanco,compra directa,25/09/2025,,SKU: HSACAP9 - General Funda reductora,BAJO STOCK
JUGP077,Juguetes,A jugar,Disfraces,"",1,bueno,165.00,165.00,0.50,2,Polanco,compra directa,25/09/2025,,SKU: HSMCCP5 - Disfraces  2 años,BAJO STOCK
JUGP078,Juguetes,A jugar,Disfraces,"",1,bueno,165.00,165.00,0.50,1,Polanco,compra directa,25/09/2025,,SKU: HSMCCP6 - Disfraces  4 años,BAJO STOCK
JUGP079,Juguetes,A jugar,Disfraces,"",1,bueno,104.50,104.50,0.50,2,Polanco,compra directa,25/09/2025,,SKU: HSMCCP8 - Disfraces  6 meses,BAJO STOCK
JUGP080,Juguetes,A jugar,Disfraces,"",1,bueno,165.00,165.00,0.50,2,Polanco,compra directa,25/09/2025,,SKU: HSMCCP12 - Disfraces  2 años,BAJO STOCK
JUGP081,Juguetes,A jugar,Disfraces,"",1,bueno,181.50,181.50,0.50,2,Polanco,compra directa,25/09/2025,,SKU: HSMCCP13 - Disfraces  2 años,BAJO STOCK
JUGP082,Juguetes,A jugar,Disfraces,"",1,bueno,214.50,214.50,0.50,2,Polanco,compra directa,25/09/2025,,SKU: HSMCCP14 - Disfraces  2 años,BAJO STOCK
JUGP083,Juguetes,A jugar,Disfraces,"",1,bueno,110.00,110.00,0.50,2,Polanco,compra directa,25/09/2025,,SKU: HSMCCP15 - Disfraces  2 años,BAJO STOCK
JUGP084,Juguetes,A jugar,Disfraces,"",1,bueno,176.00,176.00,0.50,2,Polanco,compra directa,25/09/2025,,SKU: HSHCCP3 - Disfraces  2 años,BAJO STOCK
JUGP085,Juguetes,A jugar,Disfraces,"",1,bueno,242.00,242.00,0.50,3,Polanco,compra directa,25/09/2025,,SKU: HSMCCP19 - Disfraces  4 años,BAJO STOCK
JUGP086,Juguetes,A jugar,Disfraces,"",1,bueno,121.00,121.00,0.50,2,Polanco,compra directa,25/09/2025,,SKU: HSMCCP20 - Disfraces  3 años,BAJO STOCK
JUGP087,Juguetes,A jugar,Disfraces,"",1,bueno,324.50,324.50,0.50,2,Polanco,compra directa,25/09/2025,,SKU: HSMCCP21 - Disfraces  2 años,BAJO STOCK
JUGP088,Juguetes,A jugar,Disfraces,"",1,bueno,214.50,214.50,0.50,2,Polanco,compra directa,25/09/2025,,SKU: HSHCCP5 - Disfraces  6 meses,BAJO STOCK
JUGP089,Juguetes,A jugar,Disfraces,"",1,bueno,302.50,302.50,0.50,2,Polanco,compra directa,25/09/2025,,SKU: HSHCCP9 - Disfraces  3 años,BAJO STOCK
JUGP090,Juguetes,A jugar,Disfraces,"",1,bueno,302.50,302.50,0.50,1,Polanco,compra directa,25/09/2025,,SKU: HSHCCP10 - Disfraces  4 años,BAJO STOCK
JUGP091,Juguetes,A jugar,Disfraces,"",1,bueno,99.00,99.00,0.50,2,Polanco,compra directa,25/09/2025,,SKU: HSMCCP22 - Disfraces  4 años,BAJO STOCK
JUGP092,Juguetes,A jugar,Disfraces,"",1,bueno,187.00,187.00,0.50,2,Polanco,compra directa,25/09/2025,,SKU: HSMCCP26 - Disfraces  5 años,BAJO STOCK
JUGP093,Juguetes,A jugar,Disfraces,"",1,bueno,214.50,214.50,0.50,2,Polanco,compra directa,25/09/2025,,SKU: HSMCCP27 - Disfraces  5 años,BAJO STOCK
JUGP094,Juguetes,A jugar,Disfraces,"",1,bueno,187.00,187.00,0.50,1,Polanco,compra directa,25/09/2025,,SKU: HSMCCP29 - Disfraces  5 años,BAJO STOCK
JUGP095,Juguetes,A jugar,Disfraces,"",1,bueno,165.00,165.00,0.50,1,Polanco,compra directa,25/09/2025,,SKU: HSMCCP32 - Disfraces  4 años,BAJO STOCK
JUGP096,Juguetes,A jugar,Stokke,"",1,bueno,1933.20,1933.20,0.50,2,Polanco,compra directa,25/09/2025,,SKU: HSACAP11 - Stokke Funda de carriola,BAJO STOCK
JUGP097,Juguetes,A jugar,Beaba,"",1,bueno,1506.60,1506.60,0.50,3,Polanco,compra directa,25/09/2025,,SKU: HSMCBP40 - Beaba  Silla Mecedora,BAJO STOCK
JUGP098,Juguetes,A jugar,Pimpones,"",1,bueno,330.00,330.00,0.50,2,Polanco,compra directa,25/09/2025,,SKU: HSJDMP31 - Pimpones Completo,BAJO STOCK
JUGP099,Juguetes,A jugar,Rompecabezas,"",1,bueno,99.00,99.00,0.50,2,Polanco,compra directa,25/09/2025,,SKU: HSLYRP18 - Rompecabezas 500pz Adultos,BAJO STOCK
JUGP100,Juguetes,A jugar,Mattel,"",1,bueno,121.00,121.00,0.50,1,Polanco,compra directa,25/09/2025,,SKU: HSJUGP171 - Mattel 5 años y más,BAJO STOCK
JUGP101,Juguetes,A jugar,Infanti,"",1,bueno,385.00,385.00,0.50,3,Polanco,compra directa,25/09/2025,,SKU: HSBPCP6 - Infanti 100 cm,BAJO STOCK
JUGP102,Juguetes,A jugar,Prinsel,"",1,bueno,4050.00,4050.00,0.50,2,Polanco,compra directa,25/09/2025,,SKU: HSMDEP19 - Prinsel Eléctrico,BAJO STOCK
JUGP103,Juguetes,A jugar,Prinsel,"",1,bueno,995.00,995.00,0.50,4,Polanco,compra directa,25/09/2025,,SKU: HSANDP20 - Prinsel Plegable,BAJO STOCK
JUGP104,Juguetes,A jugar,Prinsel,"",2,bueno,1074.60,1074.60,0.50,3,Polanco,compra directa,25/09/2025,,SKU: HSANDP21 - Prinsel Plegable,BAJO STOCK
JUGP105,Juguetes,A jugar,Magistronic,"",1,bueno,1890.00,1890.00,0.50,3,Polanco,compra directa,25/09/2025,,SKU: HSTYBP34 - Magistronic R-16 / 3-5a,BAJO STOCK
JUGP106,Juguetes,A jugar,Prinsel,"",1,bueno,643.00,643.00,0.50,3,Polanco,compra directa,25/09/2025,,SKU: HSMCBP46 - Prinsel Mecedora Rosa/azul,BAJO STOCK
JUGP107,Juguetes,A jugar,Juguete,"",1,bueno,192.50,192.50,0.50,2,Polanco,compra directa,25/09/2025,,SKU: HSJUGP175 - Juguete 5 años y más,BAJO STOCK
JUGP108,Juguetes,A jugar,General,"",1,bueno,88.00,88.00,0.50,2,Polanco,compra directa,25/09/2025,,SKU: HSLYRP20 - General Niños,BAJO STOCK
JUGP109,Juguetes,A jugar,Libro,"",1,bueno,88.00,88.00,0.50,3,Polanco,compra directa,25/09/2025,,SKU: HSLYRP21 - Libro Niños,BAJO STOCK
JUGP110,Juguetes,A jugar,General,"",1,bueno,99.00,99.00,0.50,3,Polanco,compra directa,25/09/2025,,SKU: HSLYRP22 - General Bebés,BAJO STOCK
JUGP111,Juguetes,A jugar,General,"",1,bueno,110.00,110.00,0.50,3,Polanco,compra directa,25/09/2025,,SKU: HSLYRP23 - General Bebés,BAJO STOCK
JUGP112,Juguetes,A jugar,General,"",1,bueno,99.00,99.00,0.50,3,Polanco,compra directa,25/09/2025,,SKU: HSLYRP24 - General Niños,BAJO STOCK
JUGP113,Juguetes,A jugar,baby,"",1,bueno,880.00,880.00,0.50,3,Polanco,compra directa,25/09/2025,,SKU: HSPDAP3 - baby Bullet Eléctrico,BAJO STOCK
JUGP114,Juguetes,A jugar,Libro,"",1,bueno,66.00,66.00,0.50,2,Polanco,compra directa,25/09/2025,,SKU: HSLYRP26 - Libro Niños,BAJO STOCK
JUGP115,Juguetes,A jugar,General,"",1,bueno,181.50,181.50,0.50,2,Polanco,compra directa,25/09/2025,,SKU: HSLYRP34 - General Bebés,BAJO STOCK
JUGP116,Juguetes,A jugar,Fisher,"",2,bueno,209.00,209.00,0.50,2,Polanco,compra directa,25/09/2025,,SKU: HSJUGP182 - Fisher Price 2 años,BAJO STOCK
JUGP117,Juguetes,A jugar,Mega,"",1,bueno,209.00,209.00,0.50,3,Polanco,compra directa,25/09/2025,,SKU: HSJUGP194 - Mega Bloks 5 años y más,BAJO STOCK
JUGP118,Juguetes,A jugar,Mega,"",2,bueno,539.00,539.00,0.50,2,Polanco,compra directa,25/09/2025,,SKU: HSJUGP197 - Mega Bloks 4 años,BAJO STOCK
JUGP119,Juguetes,A jugar,Cars,"",1,bueno,467.50,467.50,0.50,2,Polanco,compra directa,25/09/2025,,SKU: HSJUGP199 - Cars 5 años y más,BAJO STOCK
JUGP120,Juguetes,A jugar,Nerf,"",1,bueno,1296.00,1296.00,0.50,3,Polanco,compra directa,25/09/2025,,SKU: HSJUGP201 - Nerf 5 años y más,BAJO STOCK
JUGP121,Juguetes,A jugar,Fisher,"",2,bueno,154.00,154.00,0.50,2,Polanco,compra directa,25/09/2025,,SKU: HSJUGP203 - Fisher Price 2 años,BAJO STOCK
JUGP122,Juguetes,A jugar,Safety,"",2,bueno,1058.40,1058.40,0.50,2,Polanco,compra directa,25/09/2025,,SKU: HSBPCP8 - Safety 1st 120 cm,BAJO STOCK
JUGP123,Juguetes,A jugar,Chicco,"",1,bueno,3750.00,3750.00,0.50,3,Polanco,compra directa,25/09/2025,,SKU: HSCYMP17 - Chicco Colecho Magic,BAJO STOCK
JUGP124,Juguetes,A jugar,Avent,"",1,bueno,1620.00,1620.00,0.50,2,Polanco,compra directa,25/09/2025,,SKU: HSEDLP29 - Avent Sencillo,BAJO STOCK
JUGP125,Juguetes,A jugar,Spectra,"",1,bueno,2802.60,2802.60,0.50,2,Polanco,compra directa,25/09/2025,,SKU: HSEDLP30 - Spectra Doble,BAJO STOCK
JUGP126,Juguetes,A jugar,Prinsel,"",1,bueno,2700.00,2700.00,0.50,4,Polanco,compra directa,25/09/2025,,SKU: HSMDEP22 - Prinsel Eléctrico,BAJO STOCK
JUGP127,Juguetes,A jugar,Cuadros,"",1,bueno,444.41,444.41,0.50,1,Polanco,compra directa,25/09/2025,,SKU: HSACRP12 - Cuadros,BAJO STOCK
JUGP128,Juguetes,A jugar,Cuadros,"",1,bueno,444.41,444.41,0.50,1,Polanco,compra directa,25/09/2025,,SKU: HSACRP13 - Cuadros,BAJO STOCK
JUGP129,Juguetes,A jugar,Cuadros,"",1,bueno,412.66,412.66,0.50,1,Polanco,compra directa,25/09/2025,,SKU: HSACRP14 - Cuadros,BAJO STOCK
JUGP130,Juguetes,A jugar,Tippi,"",1,bueno,539.00,539.00,0.50,3,Polanco,compra directa,25/09/2025,,SKU: HSBANP24 - Tippi Tina,BAJO STOCK
JUGP131,Juguetes,A jugar,Cybex,"",1,bueno,2694.60,2694.60,0.50,3,Polanco,compra directa,25/09/2025,,SKU: HSCAPP34 - Cybex Cangurera,BAJO STOCK
JUGP132,Juguetes,A jugar,Fisher,"",2,bueno,693.00,693.00,0.50,2,Polanco,compra directa,25/09/2025,,SKU: HSMDCP13 - Fisher Price Sonido y movimiento,BAJO STOCK
JUGP133,Juguetes,A jugar,Fisher,"",1,bueno,319.00,319.00,0.50,2,Polanco,compra directa,25/09/2025,,SKU: HSMDCP15 - Fisher Price Sonido y movimiento,BAJO STOCK
JUGP134,Juguetes,A jugar,Mega,"",1,bueno,352.00,352.00,0.50,2,Polanco,compra directa,25/09/2025,,SKU: HSJUGP218 - Mega Bloks 2 años,BAJO STOCK
JUGP135,Juguetes,A jugar,Apache,"",2,bueno,1501.20,1501.20,0.50,4,Polanco,compra directa,25/09/2025,,SKU: HSMDEP23 - Apache Empuje,BAJO STOCK
JUGP136,Juguetes,A jugar,Prinsel,"",1,bueno,533.50,533.50,0.50,4,Polanco,compra directa,25/09/2025,,SKU: HSANDP22 - Prinsel Fija,BAJO STOCK
JUGP137,Juguetes,A jugar,Firestat,"",1,bueno,434.50,434.50,0.50,2,Polanco,compra directa,25/09/2025,,SKU: HSSORP18 - Firestat Patines,BAJO STOCK
JUGP138,Juguetes,A jugar,Baby,"",1,bueno,275.00,275.00,0.50,1,Polanco,compra directa,25/09/2025,,SKU: HSJUGP226 - Baby Alive 3 años,BAJO STOCK
JUGP139,Juguetes,A jugar,Paris,"",1,bueno,1250.00,1250.00,0.50,4,Polanco,compra directa,25/09/2025,,SKU: HSTYBP48 - Paris R-12 / 2-3a,BAJO STOCK
JUGP140,Juguetes,A jugar,Mattel,"",1,bueno,654.50,654.50,0.50,2,Polanco,compra directa,25/09/2025,,SKU: HSJUGP228 - Mattel 5 años y más,BAJO STOCK
JUGP141,Juguetes,A jugar,Chicco,"",2,bueno,1350.00,1350.00,0.50,4,Polanco,compra directa,25/09/2025,,SKU: HSANDP23 - Chicco Plegable,BAJO STOCK
JUGP142,Juguetes,A jugar,Apache,"",1,bueno,495.00,495.00,0.50,3,Polanco,compra directa,25/09/2025,,SKU: HSSORP20 - Apache Scooter Grande,BAJO STOCK
JUGP143,Juguetes,A jugar,Banana,"",1,bueno,984.50,984.50,0.50,4,Polanco,compra directa,25/09/2025,,SKU: HSTYBP50 - Banana Bicicleta de Equilibrio,BAJO STOCK
JUGP144,Juguetes,A jugar,Lego,"",1,bueno,214.50,214.50,0.50,2,Polanco,compra directa,25/09/2025,,SKU: HSJUGP240 - Lego 5 años y más,BAJO STOCK
JUGP145,Juguetes,A jugar,Juego,"",2,bueno,434.50,434.50,0.50,2,Polanco,compra directa,25/09/2025,,SKU: HSPROVISIONAL014 - Juego Platos y cubiertos,BAJO STOCK
JUGP146,Juguetes,A jugar,Disney,"",1,bueno,385.00,385.00,0.50,1,Polanco,compra directa,25/09/2025,,SKU: DISP20 - Disney 6-7 años,BAJO STOCK
JUGP147,Juguetes,A jugar,Paw,"",1,bueno,814.00,814.00,0.50,3,Polanco,compra directa,25/09/2025,,SKU: HSJUGP89-1 - Paw Patrol 3 años,BAJO STOCK
JUGP148,Juguetes,A jugar,Disney,"",1,bueno,467.50,467.50,0.50,2,Polanco,compra directa,25/09/2025,,SKU: DISP23 - Disney 6-7 años,BAJO STOCK
JUGP149,Juguetes,A jugar,General,"",1,bueno,418.00,418.00,0.50,3,Polanco,compra directa,25/09/2025,,SKU: SORP25 - General Scooter pequeño,BAJO STOCK
JUGP150,Juguetes,A jugar,Cuna,"",1,bueno,605.00,605.00,0.50,3,Polanco,compra directa,25/09/2025,,SKU: COLP27 - Cuna estándar,BAJO STOCK
JUGP151,Juguetes,A jugar,Britax,"",1,bueno,1830.60,1830.60,0.50,3,Polanco,compra directa,25/09/2025,,SKU: CAPP48 - Britax Cangurera,BAJO STOCK
JUGP152,Juguetes,A jugar,Distroller,"",1,bueno,247.50,247.50,0.50,1,Polanco,compra directa,25/09/2025,,SKU: JUGP269 - Distroller 5 años y más,BAJO STOCK
JUGP153,Juguetes,A jugar,Apache,"",1,bueno,605.00,605.00,0.50,4,Polanco,compra directa,25/09/2025,,SKU: SORP30 - Apache Scooter Grande,BAJO STOCK
JUGP154,Juguetes,A jugar,Mon,"",1,bueno,1285.20,1285.20,0.50,3,Polanco,compra directa,25/09/2025,,SKU: CAPP50 - Mon Caramel Bambineto,BAJO STOCK
JUGP155,Juguetes,A jugar,Fisher,"",1,bueno,66.00,66.00,0.50,1,Polanco,compra directa,25/09/2025,,SKU: JUGP272 - Fisher Price 0-1 año,BAJO STOCK
JUGP156,Juguetes,A jugar,Radio,"",1,bueno,874.50,874.50,0.50,4,Polanco,compra directa,25/09/2025,,SKU: TYBP64 - Radio Flyer Triciclo Pequeño,BAJO STOCK
JUGP157,Juguetes,A jugar,Prinsel,"",1,bueno,1069.20,1069.20,0.50,1,Polanco,compra directa,25/09/2025,,SKU: BANP36 - Prinsel Con base y cambiador,BAJO STOCK
JUGP158,Juguetes,A jugar,Play-Doh,"",1,bueno,643.50,643.50,0.50,1,Polanco,compra directa,25/09/2025,,SKU: JUGP284 - Play-Doh 3 años,BAJO STOCK
JUGP159,Juguetes,A jugar,General,"",2,bueno,27.50,27.50,0.50,1,Polanco,compra directa,25/09/2025,,SKU: HCCP15 - General 18 meses,BAJO STOCK
JUGP160,Juguetes,A jugar,General,"",1,bueno,27.50,27.50,0.50,1,Polanco,compra directa,25/09/2025,,SKU: HCCP16 - General 6 meses,BAJO STOCK
JUGP161,Juguetes,A jugar,General,"",1,bueno,214.50,214.50,0.50,1,Polanco,compra directa,25/09/2025,,SKU: CHNP10 - General 7-8a 19.5-20cm,BAJO STOCK
JUGP162,Juguetes,A jugar,General,"",1,bueno,181.50,181.50,0.50,1,Polanco,compra directa,25/09/2025,,SKU: MCCP37 - General 7 años,BAJO STOCK
JUGP163,Juguetes,A jugar,Disney,"",1,bueno,434.50,434.50,0.50,1,Polanco,compra directa,25/09/2025,,SKU: DISP24 - Disney 4-5 años,BAJO STOCK
JUGP164,Juguetes,A jugar,Fisher,"",1,bueno,357.50,357.50,0.50,2,Polanco,compra directa,25/09/2025,,SKU: JUGP285 - Fisher Price 3 años,BAJO STOCK
JUGP165,Juguetes,A jugar,Ingenuity,"",1,bueno,2154.60,2154.60,0.50,4,Polanco,compra directa,25/09/2025,,SKU: MCBP64 - Ingenuity Columpio mecedora,BAJO STOCK
JUGP166,Juguetes,A jugar,Polo,"",1,bueno,649.00,649.00,0.50,2,Polanco,compra directa,25/09/2025,,SKU: MCCP40 - Polo Ralph Lauren 4 años,BAJO STOCK
JUGP167,Juguetes,A jugar,Tous,"",1,bueno,495.00,495.00,0.50,2,Polanco,compra directa,25/09/2025,,SKU: MCCP41 - Tous 0-3 meses,BAJO STOCK
JUGP168,Juguetes,A jugar,Mayoral,"",2,bueno,577.50,577.50,0.50,3,Polanco,compra directa,25/09/2025,,SKU: MCCP43 - Mayoral 3 años,BAJO STOCK
JUGP169,Juguetes,A jugar,Mayoral,"",1,bueno,577.50,577.50,0.50,2,Polanco,compra directa,25/09/2025,,SKU: MCCP44 - Mayoral 6 meses,BAJO STOCK
JUGP170,Juguetes,A jugar,Foque,"",1,bueno,649.00,649.00,0.50,3,Polanco,compra directa,25/09/2025,,SKU: MCCP47 - Foque 18 meses,BAJO STOCK
JUGP171,Juguetes,A jugar,Primmi,"",1,bueno,649.00,649.00,0.50,2,Polanco,compra directa,25/09/2025,,SKU: MCCP48 - Primmi 12 meses,BAJO STOCK
JUGP172,Juguetes,A jugar,Fiorella,"",2,bueno,324.50,324.50,0.50,2,Polanco,compra directa,25/09/2025,,SKU: MCCP45 - Fiorella 12 meses,BAJO STOCK
JUGP173,Juguetes,A jugar,Little,"",1,bueno,385.00,385.00,0.50,2,Polanco,compra directa,25/09/2025,,SKU: HCCP18 - Little Me 9 meses,BAJO STOCK
JUGP174,Juguetes,A jugar,Babuu,"",1,bueno,797.50,797.50,0.50,4,Polanco,compra directa,25/09/2025,,SKU: CAPP54 - Babuu Bambineto,BAJO STOCK
JUGP175,Juguetes,A jugar,Chicco,"",1,bueno,715.00,715.00,0.50,4,Polanco,compra directa,25/09/2025,,SKU: CAPP53 - Chicco Cangurera,BAJO STOCK
JUGP176,Juguetes,A jugar,Vtech,"",1,bueno,539.00,539.00,0.50,3,Polanco,compra directa,25/09/2025,,SKU: JUGP295 - Vtech 3 años,BAJO STOCK
JUGP177,Juguetes,A jugar,babymoov,"",1,bueno,2149.20,2149.20,0.50,3,Polanco,compra directa,25/09/2025,,SKU: PDAP6 - babymoov Eléctrico,BAJO STOCK
JUGP178,Juguetes,A jugar,Black&Decker,"",1,bueno,1009.80,1009.80,0.50,4,Polanco,compra directa,25/09/2025,,SKU: PDAP7 - Black&Decker Eléctrico,BAJO STOCK
JUGP179,Juguetes,A jugar,Dr.,"",2,bueno,247.50,247.50,0.50,4,Polanco,compra directa,25/09/2025,,SKU: EDBP6 - Dr. Browns Microondas,BAJO STOCK
JUGP180,Juguetes,A jugar,Tommee,"",1,bueno,324.50,324.50,0.50,3,Polanco,compra directa,25/09/2025,,SKU: EDBP7 - Tommee Tippee Microondas,BAJO STOCK
JUGP181,Juguetes,A jugar,Tommee,"",1,bueno,544.50,544.50,0.50,3,Polanco,compra directa,25/09/2025,,SKU: EDBP8 - Tommee Tippee Microondas,BAJO STOCK
JUGP182,Juguetes,A jugar,Chicco,"",1,bueno,302.50,302.50,0.50,3,Polanco,compra directa,25/09/2025,,SKU: EDBP9 - Chicco Microondas,BAJO STOCK
JUGP183,Juguetes,A jugar,Munchkin,"",1,bueno,385.00,385.00,0.50,3,Polanco,compra directa,25/09/2025,,SKU: EDBP12 - Munchkin Microondas,BAJO STOCK
JUGP184,Juguetes,A jugar,Medela,"",1,bueno,2154.60,2154.60,0.50,2,Polanco,compra directa,25/09/2025,,SKU: EDLP32 - Medela Sencillo,BAJO STOCK
JUGP185,Juguetes,A jugar,Medela,"",1,bueno,2154.60,2154.60,0.50,3,Polanco,compra directa,25/09/2025,,SKU: EDLP33 - Medela Sencillo,BAJO STOCK
JUGP186,Juguetes,A jugar,Chicco,"",1,bueno,1069.20,1069.20,0.50,4,Polanco,compra directa,25/09/2025,,SKU: EDLP35 - Chicco Sencillo,BAJO STOCK
JUGP187,Juguetes,A jugar,Evenflo,"",1,bueno,814.00,814.00,0.50,3,Polanco,compra directa,25/09/2025,,SKU: EDLP37 - Evenflo Sencillo,BAJO STOCK
JUGP188,Juguetes,A jugar,Dr.,"",1,bueno,434.50,434.50,0.50,1,Polanco,compra directa,25/09/2025,,SKU: EDLP38 - Dr. Brown Sencillo,BAJO STOCK
JUGP189,Juguetes,A jugar,Spectra,"",1,bueno,2802.60,2802.60,0.50,3,Polanco,compra directa,25/09/2025,,SKU: EDLP40 - Spectra Doble,BAJO STOCK
JUGP190,Juguetes,A jugar,Chicco,"",1,bueno,1609.20,1609.20,0.50,3,Polanco,compra directa,25/09/2025,,SKU: EDLP41 - Chicco Sencillo,BAJO STOCK
JUGP191,Juguetes,A jugar,Tommee,"",1,bueno,1069.20,1069.20,0.50,4,Polanco,compra directa,25/09/2025,,SKU: EDLP42 - Tommee Tippee Sencillo,BAJO STOCK
JUGP192,Juguetes,A jugar,Spectra,"",1,bueno,324.50,324.50,0.50,4,Polanco,compra directa,25/09/2025,,SKU: ADAP14 - Spectra Accesorios de extractor,BAJO STOCK
JUGP193,Juguetes,A jugar,Medela,"",1,bueno,132.00,132.00,0.50,1,Polanco,compra directa,25/09/2025,,SKU: ADAP15 - Medela Accesorios de extractor,BAJO STOCK
JUGP194,Juguetes,A jugar,Medela,"",1,bueno,715.00,715.00,0.50,2,Polanco,compra directa,25/09/2025,,SKU: ADAP16 - Medela Biberon,BAJO STOCK
JUGP195,Juguetes,A jugar,Kiinde,"",2,bueno,319.00,319.00,0.50,3,Polanco,compra directa,25/09/2025,,SKU: ADAP17 - Kiinde Biberon,BAJO STOCK
JUGP196,Juguetes,A jugar,Medela,"",1,bueno,1069.20,1069.20,0.50,3,Polanco,compra directa,25/09/2025,,SKU: EDLP43 - Medela Doble,BAJO STOCK
JUGP197,Juguetes,A jugar,Haakaa,"",1,bueno,368.50,368.50,0.50,3,Polanco,compra directa,25/09/2025,,SKU: ADAP18 - Haakaa Recolector,BAJO STOCK
JUGP198,Juguetes,A jugar,Spectra,"",1,bueno,2970.00,2970.00,0.50,3,Polanco,compra directa,25/09/2025,,SKU: EDLP44 - Spectra Doble,BAJO STOCK
JUGP199,Juguetes,A jugar,Espejos,"",1,bueno,165.00,165.00,0.50,4,Polanco,compra directa,25/09/2025,,SKU: ACAP15 - Espejos retrovisores,BAJO STOCK
JUGP200,Juguetes,A jugar,BabyBjorn,"",1,bueno,1074.60,1074.60,0.50,1,Polanco,compra directa,25/09/2025,,SKU: CAPP56 - BabyBjorn Cangurera,BAJO STOCK
JUGP201,Juguetes,A jugar,Twingar,"",1,bueno,1350.00,1350.00,0.50,4,Polanco,compra directa,25/09/2025,,SKU: CAPP58 - Twingar Cangurera,BAJO STOCK
